mu,test_set_size,seed,bootstrap_bca_5_score,bootstrap_bca_last_score,bootstrap_5_score,bootstrap_last_score,bootstrap_analytical_score,clt_slutsky_score,t_distribution_score
0.85,15,1998,0,0,0,0,0,0,0
0.85,1000,1998,0,0,0,0,0,0,0
0.55,8,5,0,0,0,0,0,0,0
0.55,8,0,0,0,0,0,0,0,0
0.55,8,63,0,0,0,0,0,0,0
0.55,8,52,0,0,0,0,0,0,0
0.55,8,1,0,0,0,0,0,0,0
0.55,8,20,-1,-1,-1,-1,-1,-1,0
0.55,8,75,1,1,1,1,1,0,0
0.55,8,44,0,0,0,0,0,0,0
0.55,8,54,0,0,0,0,0,0,0
0.55,8,77,0,0,0,0,0,0,0
0.55,8,3,0,0,0,0,0,0,0
0.55,8,49,1,1,1,1,1,1,1
0.55,8,21,0,0,0,0,0,0,0
0.55,8,9,0,0,0,0,0,0,0
0.55,8,53,0,0,0,0,0,0,0
0.55,8,6,0,0,0,0,0,0,0
0.55,8,7,1,1,1,1,1,1,0
0.55,8,139,0,0,0,0,0,0,0
0.55,8,142,0,0,0,0,0,0,0
0.55,8,12,0,0,0,0,0,0,0
0.55,8,11,0,0,0,0,0,0,0
0.55,8,51,0,0,0,0,0,0,0
0.55,8,50,0,0,0,0,0,0,0
0.55,8,19,0,0,0,0,0,0,0
0.55,8,61,0,0,0,0,0,0,0
0.55,8,126,1,1,1,1,1,1,1
0.55,8,56,0,0,0,0,0,0,0
0.55,8,84,0,0,0,0,0,0,0
0.55,8,10,0,0,0,0,0,0,0
0.55,8,18,1,1,1,1,1,1,1
0.55,8,154,0,0,0,0,0,0,0
0.55,8,101,0,0,0,0,0,0,0
0.55,8,55,0,0,0,0,0,0,0
0.55,8,70,0,0,0,0,0,0,0
0.55,8,4,0,0,0,0,0,0,0
0.55,8,109,0,0,0,0,0,0,0
0.55,8,135,0,0,0,0,0,0,0
0.55,8,91,0,0,0,0,0,0,0
0.55,8,37,0,0,0,0,0,0,0
0.55,8,43,1,1,1,1,1,0,0
0.55,8,74,0,0,-1,-1,-1,0,0
0.55,8,115,0,0,-1,0,-1,0,0
0.55,8,157,0,0,0,0,0,0,0
0.55,8,2,0,0,0,0,0,0,0
0.55,8,8,0,0,0,0,0,0,0
0.55,8,69,0,0,0,0,0,0,0
0.55,8,72,0,0,0,0,0,0,0
0.55,8,87,0,0,0,0,0,0,0
0.55,8,120,0,0,0,0,0,0,0
0.55,8,81,0,0,0,0,0,0,0
0.55,8,124,0,0,0,0,0,0,0
0.55,8,104,0,0,0,0,0,0,0
0.55,8,78,0,0,0,0,0,0,0
0.55,8,144,0,0,0,0,0,0,0
0.55,8,31,1,1,1,1,1,0,0
0.55,8,22,0,0,0,0,0,0,0
0.55,8,76,0,0,0,0,0,0,0
0.55,8,134,0,0,0,0,0,0,0
0.55,8,80,0,0,0,0,0,0,0
0.55,8,62,0,0,0,-1,-1,0,0
0.55,8,148,0,0,0,0,0,0,0
0.55,8,103,0,0,0,0,0,0,0
0.55,8,40,0,0,0,0,0,0,0
0.55,8,14,0,0,0,0,0,0,0
0.55,8,125,0,0,0,0,0,0,0
0.55,8,121,0,0,0,0,0,0,0
0.55,8,57,0,0,0,0,0,0,0
0.55,8,158,0,0,0,0,0,0,0
0.55,8,99,1,1,1,1,1,1,1
0.55,8,95,0,0,0,0,0,0,0
0.55,8,107,0,0,0,0,0,0,0
0.55,8,17,0,0,0,0,0,0,0
0.55,8,73,1,1,1,1,1,1,1
0.55,8,113,0,0,0,0,0,0,0
0.55,8,71,0,0,0,0,0,0,0
0.55,8,79,1,1,1,1,1,1,1
0.55,8,86,0,0,0,0,0,0,0
0.55,8,127,0,0,0,0,0,0,0
0.55,8,59,0,0,0,0,0,0,0
0.55,8,147,0,0,0,0,0,0,0
0.55,8,41,0,0,0,0,0,0,0
0.55,8,102,1,1,1,1,1,1,1
0.55,8,105,0,0,0,0,0,0,0
0.55,8,26,1,1,1,1,1,1,0
0.55,8,114,0,0,0,0,0,0,0
0.55,8,65,0,0,0,0,0,0,0
0.55,8,118,0,0,0,0,0,0,0
0.55,8,15,0,0,0,0,0,0,0
0.55,8,145,0,0,0,0,0,0,0
0.55,8,67,0,0,0,0,0,0,0
0.55,8,68,0,0,0,0,0,0,0
0.55,8,64,0,0,0,0,0,0,0
0.55,8,132,-1,-1,-1,-1,-1,-1,-1
0.55,8,23,0,0,0,0,0,0,0
0.55,8,152,0,0,0,-1,-1,0,0
0.55,8,16,1,1,1,1,1,1,1
0.55,8,82,0,0,0,0,0,0,0
0.8,8,5,0,0,0,0,0,0,0
0.55,8,85,0,0,0,0,0,0,0
0.55,8,119,0,0,0,0,0,0,0
0.55,8,46,0,0,0,0,-1,0,0
0.55,8,48,0,0,0,0,0,0,0
0.55,8,111,0,0,0,0,0,0,0
0.55,8,94,0,0,0,0,0,0,0
0.55,8,90,0,0,0,0,0,0,0
0.55,8,36,0,0,0,0,0,0,0
0.55,8,58,0,0,0,0,0,0,0
0.55,8,106,0,0,0,0,0,0,0
0.55,8,92,-1,0,0,-1,-1,0,0
0.55,8,108,0,0,0,0,0,0,0
0.55,8,159,0,0,0,0,0,0,0
0.55,8,133,0,0,0,0,0,0,0
0.8,8,52,0,0,0,0,0,0,0
0.55,8,155,-1,0,-1,-1,-1,0,0
0.55,8,156,0,0,0,0,0,0,0
0.55,8,60,0,0,0,0,0,0,0
0.55,8,130,1,1,1,1,1,0,0
0.55,8,122,0,0,0,0,0,0,0
0.8,8,1,0,0,0,0,0,0,0
0.55,8,131,0,0,0,0,0,0,0
0.8,8,20,0,0,-1,-1,-1,-1,0
0.55,8,39,1,1,1,1,1,1,1
0.55,8,128,0,0,0,0,0,0,0
0.55,8,29,0,0,0,0,0,0,0
0.8,8,75,0,0,0,0,0,0,0
0.8,8,77,0,0,0,0,0,0,0
0.8,8,53,1,1,-1,-1,-1,-1,-1
0.55,8,110,0,0,0,0,0,0,0
0.55,8,93,0,0,0,0,0,0,0
0.8,8,63,0,0,0,0,0,0,0
0.55,8,112,0,0,0,0,0,0,0
0.8,8,0,-1,0,-1,-1,-1,-1,0
0.55,8,146,0,0,0,0,0,0,0
0.55,8,116,0,0,0,0,0,0,0
0.55,8,151,-1,-1,-1,-1,-1,-1,0
0.55,8,34,-1,-1,-1,-1,-1,-1,0
0.55,8,96,0,0,0,0,0,0,0
0.55,8,140,1,1,1,1,1,1,1
0.8,8,21,0,0,0,0,0,0,0
0.55,8,13,0,0,0,0,0,0,0
0.55,8,150,0,0,0,0,0,0,0
0.8,8,49,0,0,0,0,0,0,0
0.55,8,138,0,0,0,0,0,0,0
0.55,8,66,0,0,0,0,0,0,0
0.55,8,117,1,1,1,1,1,1,1
